date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,27,10,0,0
2021-04-02,Japan,0,87,34,0,0
2021-04-02,Sweden,0,5,4,0,0
2021-04-03,Afghanistan,0,23,14,0,0
2021-04-03,Japan,0,59,62,0,0
2021-04-03,Sweden,0,5,4,0,0
2021-04-04,Afghanistan,0,20,17,0,0
2021-04-04,Japan,0,42,79,0,0
2021-04-04,Sweden,0,5,4,0,0
2021-04-05,Afghanistan,0,16,21,0,0
2021-04-05,Japan,0,32,89,0,0
2021-04-05,Sweden,0,1,8,0,0
2021-04-06,Afghanistan,0,13,24,0,0
2021-04-06,Japan,0,20,101,0,0
2021-04-06,Sweden,0,1,8,0,0
2021-04-07,Afghanistan,0,10,17,5,5
2021-04-07,Japan,0,13,74,14,20
2021-04-07,Sweden,0,1,4,1,3
2021-04-08,Afghanistan,0,7,16,8,6
2021-04-08,Japan,0,11,48,26,36
2021-04-08,Sweden,0,1,4,1,3
2021-04-09,Afghanistan,0,7,13,8,9
2021-04-09,Japan,0,10,32,35,44
2021-04-09,Sweden,0,1,4,1,3
2021-04-10,Afghanistan,0,7,9,8,13
2021-04-10,Japan,0,8,24,38,51
2021-04-10,Sweden,0,1,0,4,4
2021-04-11,Afghanistan,0,6,7,9,15
2021-04-11,Japan,0,6,14,44,57
2021-04-11,Sweden,0,1,0,4,4
2021-04-12,Afghanistan,0,4,6,11,16
2021-04-12,Japan,0,6,7,47,61
2021-04-12,Sweden,0,1,0,4,4
2021-04-13,Afghanistan,0,4,3,13,17
2021-04-13,Japan,0,6,5,48,62
2021-04-13,Sweden,0,1,0,4,4
2021-04-14,Afghanistan,0,4,3,13,17
2021-04-14,Japan,0,3,7,49,62
2021-04-14,Sweden,0,1,0,4,4
2021-04-15,Afghanistan,0,4,3,13,17
2021-04-15,Japan,0,3,5,51,62
2021-04-15,Sweden,0,1,0,4,4
2021-04-16,Afghanistan,0,3,3,13,18
2021-04-16,Japan,0,2,4,51,64
2021-04-16,Sweden,0,1,0,4,4
2021-04-17,Afghanistan,0,3,1,14,19
2021-04-17,Japan,0,2,4,51,64
2021-04-17,Sweden,0,1,0,4,4
2021-04-18,Afghanistan,0,3,1,14,19
2021-04-18,Japan,0,2,4,51,64
2021-04-18,Sweden,0,1,0,4,4
2021-04-19,Afghanistan,0,3,1,14,19
2021-04-19,Japan,0,2,1,54,64
2021-04-19,Sweden,0,0,1,4,4
2021-04-20,Afghanistan,0,2,2,14,19
2021-04-20,Japan,0,1,2,54,64
2021-04-20,Sweden,0,0,1,4,4
2021-04-21,Afghanistan,0,1,2,15,19
2021-04-21,Japan,0,0,2,54,65
2021-04-21,Sweden,0,0,1,4,4
2021-04-22,Afghanistan,0,1,2,20,14
2021-04-22,Japan,5,0,2,69,45
2021-04-22,Sweden,2,0,1,5,1
2021-04-23,Afghanistan,0,1,2,21,13
2021-04-23,Japan,6,0,2,84,29
2021-04-23,Sweden,2,0,1,5,1
2021-04-24,Afghanistan,1,1,2,23,10
2021-04-24,Japan,7,0,2,91,21
2021-04-24,Sweden,2,0,0,5,2
2021-04-25,Afghanistan,1,0,2,28,6
2021-04-25,Japan,9,0,1,97,14
2021-04-25,Sweden,2,0,0,6,1
2021-04-26,Afghanistan,1,0,1,30,5
2021-04-26,Japan,9,0,0,103,9
2021-04-26,Sweden,2,0,0,6,1
2021-04-27,Afghanistan,1,0,1,31,4
2021-04-27,Japan,11,0,0,105,5
2021-04-27,Sweden,2,0,0,6,1
2021-04-28,Afghanistan,1,0,1,32,3
2021-04-28,Japan,11,0,0,106,4
2021-04-28,Sweden,2,0,0,6,1
2021-04-29,Afghanistan,1,0,1,32,3
2021-04-29,Japan,11,0,0,106,4
2021-04-29,Sweden,2,0,0,6,1
2021-04-30,Afghanistan,1,0,0,33,3
2021-04-30,Japan,11,0,0,106,4
2021-04-30,Sweden,2,0,0,6,1
2021-05-01,Afghanistan,1,0,0,34,2
